City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
271,Vanimo,PG,75.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
274,Gizo,SB,79.72,broken clouds,-8.103,156.8419,Imagination Island
277,Bengkulu,ID,76.19,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
281,Asau,RO,78.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
282,Nara,JP,80.26,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
285,Xixiang,CN,78.13,clear sky,35.1628,112.865,Sanmao Hotel Hotel
288,Golfito,CR,77.77,overcast clouds,8.639,-83.166,Banana Bay Marina
291,Namatanai,PG,78.64,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
294,Yawata,JP,80.82,clear sky,34.8701,135.7027,Hotel Dew Oyamazaki
295,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
297,Piacabucu,BR,75.81,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
298,Gra Liyia,GR,78.98,clear sky,35.0167,25.6833,Diktynna Traditional Villas
299,Broome,US,84.69,broken clouds,42.2506,-75.833,Chenango Valley State Park
304,San Policarpo,PH,82.27,broken clouds,12.1791,125.5072,JM Lodge
308,Puerto Suarez,BO,95.56,clear sky,-18.95,-57.8,Hotel casa real
309,Jinchang,CN,75.34,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
316,Idaho Falls,US,81.63,clear sky,43.4666,-112.0341,Hilton Garden Inn Idaho Falls
317,Bull Savanna,JM,84.79,scattered clouds,17.8868,-77.5902,Big Red's
319,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
322,Requena,ES,76.78,scattered clouds,39.4883,-1.1004,Hotel Avenida
323,Iraquara,BR,79.48,broken clouds,-12.2486,-41.6194,Pousada E Restaurante MKE
333,Sao Felix Do Xingu,BR,96.6,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
335,Tagusao,PH,81.66,overcast clouds,9.1924,117.8141,Toledo
336,Cururupu,BR,85.03,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
340,Davidson,US,93.96,broken clouds,36.1501,-86.7833,Best Western Plus Music Row
341,Russell,US,90.37,broken clouds,32.3502,-85.1999,Macs
346,Maracacume,BR,87.13,broken clouds,-2.0428,-45.9592,Hotel Ramos
347,Kralendijk,BQ,81.05,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
348,Muros,ES,79.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
349,Faanui,PF,77.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
351,Pirajui,BR,82.2,clear sky,-21.9986,-49.4572,Pirajuí Plaza Hotel
352,Ponta Delgada,PT,75.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
354,Alenquer,BR,88.14,broken clouds,-1.9417,-54.7383,Josilene Castro
355,Ryki,PL,82.98,overcast clouds,51.6257,21.9327,Pokoje Pracownicze Ryki
356,Columbia,US,89.22,scattered clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
358,Nanning,CN,77.45,light rain,22.8167,108.3167,Nanning Travelling With Hostel
359,Doha,QA,96.78,few clouds,25.2867,51.5333,Movenpick Hotel Doha
360,Jacmel,HT,84.87,broken clouds,18.2342,-72.5347,Historic Hotel Florita
361,Posse,BR,83.5,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
362,Kibala,TD,82.35,scattered clouds,9.1104,18.3463,hotel safari
365,Somerset,US,85.8,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
367,Cocorit,MX,92.12,clear sky,27.5833,-109.9667,Kaba Motel
368,Champerico,GT,92.77,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
374,Chandur Bazar,IN,75.49,broken clouds,21.2417,77.7456,Shri Tirupati Agro Agency
378,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
379,Kontagora,NG,80.51,light rain,10.3999,5.4695,Queens Guest Inn
380,Qiongshan,CN,80.58,clear sky,20.0058,110.3542,Sun City Restaurant
383,Conceicao Do Araguaia,BR,91.53,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
384,Riverton,US,92.28,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
385,Roald,NO,79.16,fog,62.5833,6.1333,Flem Cabins
387,Sao Jose Da Coroa Grande,BR,77.92,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
388,Kota Belud,MY,80.46,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
389,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
390,Gotsu,JP,75.38,broken clouds,35.0,132.2167,Yurusato
391,Easley,US,89.51,broken clouds,34.8298,-82.6015,Quality Inn & Suites
392,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
394,Auchi,NG,75.24,light rain,7.0667,6.2667,LECKY PLACE & HOTEL
396,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
397,Springfield,US,89.89,scattered clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
403,Hirara,JP,83.55,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
404,Torbat-E Jam,IR,91.24,clear sky,35.244,60.6225,White building
405,Calamar,CO,82.35,overcast clouds,10.2511,-74.9146,Hostal Katyalex
406,Matara,LK,77.99,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
408,Corozal,CO,75.2,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
409,Brownwood,US,93.29,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
410,Takoradi,GH,78.55,broken clouds,4.8845,-1.7554,Raybow International Hotel
411,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
414,Gat,IL,84.81,clear sky,31.61,34.7642,OlusHome
416,Salo,IT,86.45,moderate rain,45.6086,10.531,Park Hotel Casimiro Village - Blu Hotels
417,Monreal,PH,83.32,overcast clouds,12.644,123.6648,3f Tourist Inn
418,Banda Aceh,ID,80.55,overcast clouds,5.5577,95.3222,Sulthan Hotel International
420,Ewa Beach,US,77.99,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
422,Ribas Do Rio Pardo,BR,92.21,clear sky,-20.4431,-53.7592,Pousada Avenida
423,Lander,US,86.59,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
426,Luganville,VU,76.8,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
430,Ulcinj,ME,91.62,clear sky,41.9294,19.2244,Hotel Mediteran
435,Puerto Gaitan,CO,81.12,overcast clouds,4.3133,-72.0816,Brisas del Yucao
437,Bani,DO,88.75,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
438,Saint Anthony,US,89.26,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
439,Kunstat,CZ,79.48,scattered clouds,49.5065,16.5172,Hotel Rudka s.r.o.
444,Lorengau,PG,78.66,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
445,Qom,IR,99.43,few clouds,34.6401,50.8764,Qom Hotel
446,Price,US,82.72,broken clouds,39.5994,-110.8107,National 9 - Price River Inn
447,Bowling Green,US,92.1,scattered clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
449,Methoni,GR,87.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
451,Utiel,ES,77.52,scattered clouds,39.5667,-1.2,Hotel Restaurante El Tollo
452,Hambantota,LK,80.15,broken clouds,6.1241,81.1185,Bungalow 63
455,Sur,OM,93.65,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
456,Daman,IN,79.72,light rain,20.4167,72.85,Silver Sands Beach Resort
460,Sibolga,ID,77.72,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
461,Pacifica,US,77.7,overcast clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
467,Barao De Melgaco,BR,95.52,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
