City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Broken Hill,AU,2021-07-24 20:13:53,-31.95,141.4333,42.26,85,12,13.87
127,Carballo,ES,2021-07-24 20:13:53,43.213,-8.691,65.89,87,41,3.58
128,Butaritari,KI,2021-07-24 20:13:53,3.0707,172.7902,83.68,72,100,16.67
129,Merrill,US,2021-07-24 20:13:54,45.1805,-89.6835,83.8,60,1,13.8
130,Anupgarh,IN,2021-07-24 20:13:54,29.1911,73.2086,95.88,47,48,11.54
131,Tambun,ID,2021-07-24 20:13:54,-6.2641,107.0712,78.48,88,0,4.45
132,Hit,IQ,2021-07-24 20:13:55,33.6416,42.8251,98.58,20,0,8.63
133,Iqaluit,CA,2021-07-24 20:13:55,63.7506,-68.5145,52.75,60,98,20.69
134,Santa Cruz,BO,2021-07-24 20:13:55,-17.8,-63.1667,89.65,35,20,26.46
135,Isangel,VU,2021-07-24 20:13:41,-19.55,169.2667,75.97,84,7,3.89
136,Alofi,NU,2021-07-24 20:13:56,-19.0595,-169.9187,78.69,89,40,4.61
137,Sovetskiy,RU,2021-07-24 20:13:56,61.3614,63.5842,52.2,85,100,8.5
138,Saint George,US,2021-07-24 20:12:53,37.1041,-113.5841,99.07,34,1,5.75
139,Salym,RU,2021-07-24 20:13:57,60.0625,71.4789,52.65,98,86,2.37
140,San Patricio,US,2021-07-24 20:13:57,28.017,-97.5169,96.89,36,0,15.03
141,Kruisfontein,ZA,2021-07-24 20:13:57,-34.0033,24.7314,47.26,48,2,7.54
142,Treia,IT,2021-07-24 20:13:57,43.3106,13.3115,81.72,45,92,4.94
143,Kushiro,JP,2021-07-24 20:13:58,42.975,144.3747,64.56,99,98,4.21
144,Vestmannaeyjar,IS,2021-07-24 20:13:58,63.4427,-20.2734,51.6,84,59,11.79
145,Ca Mau,VN,2021-07-24 20:11:18,9.1769,105.15,78.04,88,91,6.71
146,Port Alfred,ZA,2021-07-24 20:13:58,-33.5906,26.891,54.99,74,0,20.04
147,Ikalamavony,MG,2021-07-24 20:13:58,-21.15,46.5833,56.57,83,54,10.22
148,Ixtapa,MX,2021-07-24 20:13:59,20.7,-105.2,89.22,66,40,10.36
149,Mahibadhoo,MV,2021-07-24 20:13:59,3.7833,72.9667,81.93,78,97,5.32
150,Mahebourg,MU,2021-07-24 20:13:59,-20.4081,57.7,67.24,79,30,9.31
151,Wuda,CN,2021-07-24 20:14:00,39.4994,106.7117,76.73,59,8,18.7
152,East London,ZA,2021-07-24 20:12:49,-33.0153,27.9116,55.81,71,0,15.12
153,Lompoc,US,2021-07-24 20:14:00,34.6391,-120.4579,91.02,73,90,13.8
